generator,level,run,completionPercentage,currentCoins,gameStatus,killsByStomp,maxJumpAirTime,maxXJump,numJumps,remainingTime,totalKills
lvl_5-1,lvl_5-1_level_3.txt,4,1.0,0,WIN,4,28,282.80106,12,11000,5
lvl_5-1,lvl_5-1_level_3.txt,5,1.0,0,WIN,4,28,282.80106,12,11000,5
lvl_5-1,lvl_5-1_level_3.txt,6,1.0,0,WIN,4,28,282.80106,12,11000,5
lvl_5-1,lvl_5-1_level_3.txt,7,1.0,0,WIN,4,28,282.80106,12,11000,5
lvl_5-1,lvl_5-1_level_3.txt,8,1.0,0,WIN,4,28,282.80106,12,11000,5
lvl_5-1,lvl_5-1_level_3.txt,9,1.0,0,WIN,4,28,282.80106,12,11000,5
lvl_5-1,lvl_5-1_level_3.txt,10,1.0,0,WIN,4,28,282.80106,12,11000,5
lvl_5-1,lvl_5-1_level_8.txt,1,1.0,0,WIN,5,36,393.35693,12,10580,5
lvl_5-1,lvl_5-1_level_8.txt,2,1.0,0,WIN,5,36,393.35693,12,10580,5
lvl_5-1,lvl_5-1_level_8.txt,3,1.0,0,WIN,5,36,393.35693,12,10580,5
lvl_5-1,lvl_5-1_level_8.txt,4,1.0,0,WIN,5,36,393.35693,12,10580,5
lvl_5-1,lvl_5-1_level_8.txt,5,1.0,0,WIN,5,36,393.35693,12,10580,5
lvl_5-1,lvl_5-1_level_8.txt,6,1.0,0,WIN,5,36,382.76733,12,10520,5
lvl_5-1,lvl_5-1_level_8.txt,7,1.0,0,WIN,5,36,382.76733,12,10520,5
lvl_5-1,lvl_5-1_level_8.txt,8,1.0,0,WIN,5,36,382.76733,12,10520,5
lvl_5-1,lvl_5-1_level_8.txt,9,1.0,0,WIN,5,36,382.76733,12,10580,5
lvl_5-1,lvl_5-1_level_8.txt,10,1.0,0,WIN,5,36,382.76733,12,10520,5
lvl_5-1,lvl_5-1_level_9.txt,1,1.0,0,WIN,6,29,304.8188,11,10700,6
lvl_5-1,lvl_5-1_level_9.txt,2,1.0,0,WIN,8,27,304.8188,9,10850,8
lvl_5-1,lvl_5-1_level_9.txt,3,1.0,0,WIN,8,27,304.8188,9,10850,8
lvl_5-1,lvl_5-1_level_9.txt,4,1.0,0,WIN,6,29,304.8188,11,10700,6
lvl_5-1,lvl_5-1_level_9.txt,5,1.0,0,WIN,6,29,304.8188,11,10700,6
lvl_5-1,lvl_5-1_level_9.txt,6,1.0,0,WIN,8,27,304.8188,9,10850,8
lvl_5-1,lvl_5-1_level_9.txt,7,1.0,0,WIN,8,27,304.8188,9,10850,8
lvl_5-1,lvl_5-1_level_9.txt,8,1.0,0,WIN,8,27,304.8188,9,10850,8
lvl_5-1,lvl_5-1_level_9.txt,9,1.0,0,WIN,6,29,304.8188,11,10700,6
lvl_5-1,lvl_5-1_level_9.txt,10,1.0,0,WIN,8,27,304.8188,9,10850,8
lvl_5-1,lvl_5-1_level_0.txt,1,1.0,0,WIN,1,21,213.02881,16,10400,2
lvl_5-1,lvl_5-1_level_0.txt,2,1.0,0,WIN,1,21,213.02881,16,10340,2
lvl_5-1,lvl_5-1_level_0.txt,3,1.0,0,WIN,1,21,213.02881,16,10340,2
lvl_5-1,lvl_5-1_level_0.txt,4,1.0,0,WIN,1,21,213.02881,16,10400,2
lvl_5-1,lvl_5-1_level_0.txt,5,1.0,0,WIN,1,21,213.02881,16,10460,2
lvl_5-1,lvl_5-1_level_0.txt,6,1.0,0,WIN,1,21,213.02881,16,10460,2
lvl_5-1,lvl_5-1_level_0.txt,7,1.0,0,WIN,1,21,213.02881,16,10400,2
lvl_5-1,lvl_5-1_level_0.txt,8,1.0,0,WIN,1,21,213.02881,16,10400,2
lvl_5-1,lvl_5-1_level_0.txt,9,1.0,0,WIN,1,21,213.02881,16,10340,2
lvl_5-1,lvl_5-1_level_0.txt,10,1.0,0,WIN,1,21,213.02881,16,10460,2
lvl_5-1,lvl_5-1_level_6.txt,1,0.79479444,0,LOSE,3,21,239.974,12,12680,3
lvl_5-1,lvl_5-1_level_6.txt,2,0.79479444,0,LOSE,3,21,239.974,12,12680,3
lvl_5-1,lvl_5-1_level_6.txt,3,0.79479444,0,LOSE,3,21,239.974,12,12680,3
lvl_5-1,lvl_5-1_level_6.txt,4,0.79479444,0,LOSE,3,21,239.974,12,12680,3
lvl_5-1,lvl_5-1_level_6.txt,5,0.79479444,0,LOSE,3,21,239.974,12,12680,3
lvl_5-1,lvl_5-1_level_6.txt,6,0.79479444,0,LOSE,3,21,239.974,12,12680,3
lvl_5-1,lvl_5-1_level_6.txt,7,0.79479444,0,LOSE,3,21,239.974,12,12680,3
lvl_5-1,lvl_5-1_level_6.txt,8,0.79479444,0,LOSE,3,21,239.974,12,12680,3
lvl_5-1,lvl_5-1_level_6.txt,9,0.79479444,0,LOSE,3,21,239.974,12,12680,3
lvl_5-1,lvl_5-1_level_6.txt,10,0.79479444,0,LOSE,3,21,239.974,12,12680,3
lvl_6-3,lvl_6-3_level_7.txt,1,0.13602649,0,LOSE,0,0,0.0,1,18740,0
lvl_6-3,lvl_6-3_level_7.txt,2,0.13602649,0,LOSE,0,0,0.0,1,18740,0
lvl_6-3,lvl_6-3_level_7.txt,3,0.13602649,0,LOSE,0,0,0.0,1,18740,0
lvl_6-3,lvl_6-3_level_7.txt,4,0.13602649,0,LOSE,0,0,0.0,1,18740,0
lvl_6-3,lvl_6-3_level_7.txt,5,0.13602649,0,LOSE,0,0,0.0,1,18740,0
lvl_6-3,lvl_6-3_level_7.txt,6,0.13602649,0,LOSE,0,0,0.0,1,18740,0
lvl_6-3,lvl_6-3_level_7.txt,7,0.13602649,0,LOSE,0,0,0.0,1,18740,0
lvl_6-3,lvl_6-3_level_7.txt,8,0.13602649,0,LOSE,0,0,0.0,1,18740,0
lvl_6-3,lvl_6-3_level_7.txt,9,0.13602649,0,LOSE,0,0,0.0,1,18740,0
lvl_6-3,lvl_6-3_level_7.txt,10,0.13602649,0,LOSE,0,0,0.0,1,18740,0
lvl_6-3,lvl_6-3_level_1.txt,1,0.22719635,0,LOSE,0,10,116.109695,3,18080,0
lvl_6-3,lvl_6-3_level_1.txt,2,0.22719635,0,LOSE,0,10,116.109695,3,18080,0
lvl_6-3,lvl_6-3_level_1.txt,3,0.22719635,0,LOSE,0,10,116.109695,3,18080,0
lvl_6-3,lvl_6-3_level_1.txt,4,0.22719635,0,LOSE,0,10,116.109695,3,18080,0
lvl_6-3,lvl_6-3_level_1.txt,5,0.22719635,0,LOSE,0,10,116.109695,3,18080,0
lvl_6-3,lvl_6-3_level_1.txt,6,0.22719635,0,LOSE,0,10,116.109695,3,18080,0
